"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1501","S","192 Martinvalley Crescent NE","A2137373","Detached","Martindale","06/06/2024","$524,900.00","$525,000.00","1,075","Calgary","2001","4","Mark Potter","CPOTTEMA3","","Amritpal Raikhy","CRAIKHAM","","CAL Zone NE"
"1501","S","458 Cannington Close SW","A2137277","Semi Detached (Half Duplex)","Canyon Meadows","06/08/2024","$505,000.00","$525,000.00","1,050","Calgary","1977","4","Tatiana Merchina","CMERCHTA","","Vivian Chin","CCHINVI","","CAL Zone S"
"1501","S","418 210 Avenue SW","A2137214","Row/Townhouse","Belmont","06/17/2024","$529,999.00","$525,000.00","1,264","Calgary","2024","12","Ariel Buenaventura","CBUENAAR","","Amanda Reynolds","CREYNOAM","CHAVREJU","CAL Zone S"
"1501","S","32 Macewan Meadow Way NW","A2137185","Semi Detached (Half Duplex)","MacEwan Glen","06/10/2024","$494,900.00","$525,000.00","1,080","Calgary","1988","3","Elaine Pippi","CPIPPIEL","","Kevin Cheung","CCHEUNKA","","CAL Zone N"
"1501","S","104 Falton Close NE","A2136301","Detached","Falconridge","06/29/2024","$539,900.00","$525,000.00","870","Calgary","1981","31","Brian Romanow","CROMANBR1","","Gigi Navarro","CNAVARGI","","CAL Zone NE"
"1501","S","260 Rowley Way NW Unit#402","A2133707","Row/Townhouse","Haskayne","06/08/2024","$524,900.00","$525,000.00","1,730","Calgary","2022","18","Nav Singh Chahil","CCHAHINA","CVERMARO5","Danny Raposo","CRAPOSDA","","CAL Zone NW"
"1501","S","8535 Bonaventure Drive SE Unit#335","A2131561","Apartment","Acadia","06/19/2024","$550,000.00","$525,000.00","1,525","Calgary","1999","35","Neil Labell","CLABELNE","","Dean Martin","CMARTIDE","","CAL Zone S"
"1501","S","560 6 Avenue SE Unit#201","A2131070","Apartment","Downtown East Village","06/14/2024","$529,900.00","$525,000.00","1,006","Calgary","2015","29","Amy Brooks","CBROOKAM","CBROOKEM","Janice Sylvestre","CSYLVEJA","","CAL Zone CC"
"1501","S","335 Creekside Boulevard SW Unit#602","A2121072","Row/Townhouse","Pine Creek","06/15/2024","$530,000.00","$525,000.00","1,662","Calgary","2024","67","Shawn Getty","CGETTYSH","CELDERCO","Nnamdi Elemamba","CELEMANN","","CAL Zone S"
"1501","S","14 Hemlock Crescent SW Unit#5106","A2135560","Apartment","Spruce Cliff","06/14/2024","$510,000.00","$524,700.00","1,339","Calgary","2004","15","Rachel Vanderveen","CBAISIRA","","Cindy Bauer","CBAUERCI","CGOLEMI","CAL Zone W"
