"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1501","S","A2110480","Row/Townhouse","New Brighton","03/13/2024","$449,999.00","$470,555.00","1,214","157 New Brighton Villas SE","Calgary","2010","12","Giselle Jones","CJONESGI1","","Ronnie Hulley","CHULLERO","","CAL Zone SE"
"1501","S","A2115095","Semi Detached (Half Duplex)","Mayland Heights","03/18/2024","$450,000.00","$470,000.00","972","915 17 Street NE","Calgary","1963","3","Fatima Boga","CWALJIFA","","Alex Moldovan Balea","CMOLDOAL","","CAL Zone NE"
"1501","S","A2114893","Row/Townhouse","Braeside","03/29/2024","$489,900.00","$470,000.00","1,580","397 Brae Glen Crescent SW","Calgary","1972","14","Gordon Dowson","CDOWSOGO","CHOPKIDA","Caroline Ravazzano","CRAVAZCA","","CAL Zone S"
"1501","S","A2112911","Row/Townhouse","Auburn Bay","03/19/2024","$449,500.00","$470,000.00","1,230","24 Auburn Bay Close SE","Calgary","2011","12","Jacob Ashton","CASHTOJA","","Vanessa Freeze-Sumner","CFREEZVA","","CAL Zone SE"
"1501","S","A2110395","Row/Townhouse","Cornerstone","03/18/2024","$479,900.00","$470,000.00","1,564","1226 Cornerstone Street NE","Calgary","2016","20","Peter Pasion","CPASIOPE","CPASIOZO","Harsh Sandhu","CSANDHHA8","","CAL Zone NE"
"1501","S","A2109418","Row/Townhouse","Cranston","03/04/2024","$444,900.00","$470,000.00","1,233","811 Cranford Court SE","Calgary","2010","5","Brian Selders","CSELDEBR","","Allen Tian","CTIANJU","","CAL Zone SE"
"1501","S","A2108330","Apartment","Eau Claire","03/08/2024","$450,000.00","$470,000.00","1,242","804 3 Avenue SW Unit#1206","Calgary","1999","14","Jesse Davies","CDAVIEJE","","Kelsey Jones","CJONESKE8","","CAL Zone CC"
"1501","S","A2105879","Detached","Whitehorn","03/12/2024","$469,999.00","$470,000.00","1,108","4232 46 Street NE","Calgary","1978","36","Jacinta Sargeant","CSARGEJA","","Gurdial Singh","CSINGHGU2","","CAL Zone NE"
"1501","S","A2101363","Apartment","Seton","03/22/2024","$469,900.00","$469,900.00","1,119","19489 Main Street SE Unit#1311","Calgary","2021","47","Juanita Power","CPOWERJU","CAMANTAR","Vadim Yalovitser","CYALOVVA","","CAL Zone SE"
"1501","S","A2109055","Row/Townhouse","Livingston","03/06/2024","$449,900.00","$469,500.00","1,100","225 Livingston Common NE","Calgary","2021","13","Amy Du","CDUYA","","Ram Sund","CSUNDRA","","CAL Zone N"
"1501","S","A2109825","Row/Townhouse","Sandstone Valley","03/27/2024","$429,900.00","$468,888.00","1,559","388 Sandarac Drive NW Unit#21","Calgary","1992","22","Rod Burriss","CBURRIRO1","","Liz Wong","CWONGEL2","","CAL Zone N"
"1501","S","A2115032","Row/Townhouse","Springbank Hill","03/23/2024","$475,000.00","$468,000.00","1,017","2117 81 Street Unit#178","Calgary","2024","2","Paul Petkoff","CPETKOPA","","Fei Ye","CYEFEI","","CAL Zone W"
"1501","S","A2114846","Detached","Martindale","03/15/2024","$459,900.00","$468,000.00","1,084","114 Martinbrook Road NE","Calgary","1989","1","Rajdeep Kooner","CKOONERA","CDHILLMA4","Sahil Kaushal","CKAUSHSA1","","CAL Zone NE"
