"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1001","S","A2101427","Row/Townhouse","Chaparral","01/25/2024","$329,700.00","$325,500.00","948","62 Chaparral Ridge Park SE","Calgary","2007","13","Glenn Heslop","CHESLOGL","","Rainie Chung","CCHUNGHU","","CAL Zone S"
"1001","S","A2084685","Row/Townhouse","Acadia","01/20/2024","$339,000.00","$325,500.00","1,114","219 90 Avenue SE Unit#28","Calgary","1970","71","Adam Vallier","CVALLIAD","","John Slade","CSLADEJO","","CAL Zone S"
"1001","S","A2103239","Apartment","Legacy","01/26/2024","$319,900.00","$325,000.00","767","215 Legacy Boulevard SE Unit#2404","Calgary","2017","3","Amelia Dela Torre","CTORREAM","","Jo-Ann Jaunin","CJAUNIJO","","CAL Zone S"
"1001","S","A2101463","Apartment","Garrison Woods","01/30/2024","$329,900.00","$325,000.00","698","2233 34 Avenue SW Unit#352","Calgary","2003","13","Ashley McKay","CMCKAYAS","CDEVALCA","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1001","S","A2100087","Apartment","West Springs","01/19/2024","$324,900.00","$325,000.00","585","8505 Broadcast Avenue SW Unit#514","Calgary","2019","14","Eric Palin","CPALINER","CHELWEJO","Non Board Member","CNONMEMB","","CAL Zone W"
"1001","S","A2098721","Row/Townhouse","Springbank Hill","01/26/2024","$339,000.00","$325,000.00","647","35 Spring Creek Common SW","Calgary","2023","27","Jonathan Popowich","CPOPOWJO","CWOODSSH","Kelvin Adolph","CADOLPKE","","CAL Zone W"
"1001","S","A2098675","Apartment","Beltline","01/10/2024","$335,000.00","$325,000.00","620","817 15 Avenue SW Unit#401","Calgary","2009","19","Don Onda","CONDADO","","Paula Murphy","CMURPHPA1","","CAL Zone CC"
"1001","S","A2098025","Row/Townhouse","Springbank Hill","01/14/2024","$355,000.00","$325,000.00","665","31 Spring Creek Common","Calgary","2023","25","Kunle Adeyinka","CADEYIAD","","James Heenan","CHEENAJA","","CAL Zone W"
"1001","S","A2083952","Apartment","Skyview Ranch","01/10/2024","$329,900.00","$325,000.00","907","4641 128 Avenue NE Unit#4214","Calgary","2020","93","Happe Dhillon","CDHILLHA3","CCHAHARA3","Abhishek Zodge","CZODGEAB","","CAL Zone NE"
"1001","S","A2101358","Apartment","Taradale","01/25/2024","$324,900.00","$324,900.00","1,003","1140 Taradale Drive NE Unit#1301","Calgary","2007","12","Purnima Nalbo","CNALBOPU","CDEVIMA","AJ Boparai","CBOPARAM","","CAL Zone NE"
