"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","58 Castleglen Road NE","A2177947","Semi Detached (Half Duplex)","Castleridge","12/02/2024","$519,900.00","$514,000.00","1,198","Calgary","1981","25","Jaskaran Assi","CASSIJA","CBANIPSU","Satyam Dhall","CDHALLSA","","CAL Zone NE"
"501","S","15894 Everstone Road SW","A2180591","Detached","Evergreen","12/04/2024","$499,900.00","$512,515.00","1,266","Calgary","2001","12","Dallas Schumaker","CSCHUMDA","CSLADESA","Kelly Copping","CCOPPIKE","","CAL Zone S"
"501","S","173 Rockyspring Grove NW","A2180175","Semi Detached (Half Duplex)","Rocky Ridge","12/06/2024","$520,000.00","$512,200.00","1,503","Calgary","2006","16","Kathy Desilets","CDESILKA","","Melody Zondag","CZONDAME","","CAL Zone NW"
"501","S","244 FRESNO Place NE","A2150230","Detached","Monterey Park","12/02/2024","$525,000.00","$512,000.00","1,050","Calgary","1995","137","Rob Richards","CRICHARO1","CLEESY","Scott Thai","CTHAITH","","CAL Zone NE"
"501","S","1111 10 Street SW Unit#1504","A2167205","Apartment","Beltline","12/06/2024","$519,000.00","$511,000.00","986","Calgary","2012","60","Ana Ecal","CECALAN","CGABIOJA","Catherine Chow","CCHOWCA","","CAL Zone CC"
"501","S","1001 19 Avenue SE","A2179867","Detached","Ramsay","12/20/2024","$525,000.00","$510,000.00","1,028","Calgary","1923","20","Gary Brand","CBRANDGA","","Gary Brand","CBRANDGA","","CAL Zone CC"
"501","S","615 6 Avenue SE Unit#1607","A2178926","Apartment","Downtown East Village","12/25/2024","$524,900.00","$510,000.00","864","Calgary","2019","38","Jordan Helwerda","CHELWEJO","CPINCKBE","Sam Baker","CBAKERSA","","CAL Zone CC"
"501","S","79 Laguna Circle NE","A2176553","Detached","Monterey Park","12/07/2024","$524,900.00","$510,000.00","1,138","Calgary","1991","36","Stacy Ewing","CEWINGST","","Khaled El Rafih","CELRAFKH","","CAL Zone NE"
"501","S","23 Seton Row SE","A2169885","Row/Townhouse","Seton","12/06/2024","$518,000.00","$510,000.00","1,356","Calgary","2024","64","Christine Keatley","CKEATLCH","","Roman Latypov","CLATYPRO","","CAL Zone SE"
"501","S","1344 Pennsburg Road SE","A2170280","Detached","Penbrooke Meadows","12/19/2024","$519,900.00","$505,000.00","866","Calgary","1971","78","Gary Banipal","CBANIPGU","CBANIPSU","Henry Nguyen","CNGUYEHU","","CAL Zone E"
"501","S","204 Doverthorn Close SE","A2181092","Detached","Dover","12/05/2024","$500,000.00","$504,000.00","1,165","Calgary","1974","9","Jay Saville","CSAVILJA","","Cody Swayze","CSWAYZAU","CPAULDY","CAL Zone E"
"501","S","6032 12 Avenue SE","A2174157","Detached","Penbrooke Meadows","12/12/2024","$519,000.00","$502,500.00","864","Calgary","1971","54","Edmond Lee","CLEEED","CLEUNGCH2","Alexander Bradley","CBRADLAL","","CAL Zone E"
"501","S","160 Elgin Meadows View SE","A2173863","Semi Detached (Half Duplex)","McKenzie Towne","12/31/2024","$489,900.00","$501,000.00","1,141","Calgary","2007","75","Tahir Joia","CJOIATA","","Gareth Hughes","CHUGHEGA","","CAL Zone SE"
"501","S","180 Auburn Meadows Boulevard SE","A2174328","Semi Detached (Half Duplex)","Auburn Bay","12/10/2024","$499,900.00","$500,100.00","1,116","Calgary","2015","23","Tyler Tost","CTOSTTY","CMYERSCR","Deborah Perrault","CPERRADE","","CAL Zone SE"
"501","S","333 Aspen Hills Villas SW","A2178177","Row/Townhouse","Aspen Woods","12/10/2024","$509,900.00","$500,000.00","1,255","Calgary","2007","32","Chassidy Mellon","CMELLOCH","CGIUFFCH1","Alisha Whitehead","CWHITEAL2","","CAL Zone W"
"501","S","87 Auburn Meadows Avenue SE","A2164603","Row/Townhouse","Auburn Bay","12/02/2024","$514,900.00","$500,000.00","1,489","Calgary","2014","82","Julie Parry","CPARRYJU","","Robin Hillier","CHILLIRO","","CAL Zone SE"
"501","S","116 Walden Lane SE","A2162563","Row/Townhouse","Walden","12/04/2024","$514,999.00","$500,000.00","1,248","Calgary","2024","90","Dalton Reum","CREUMDA","","Sean McGirr","CMCGIRSE","","CAL Zone S"
"501","S","15 Deer Lane Road SE","A2182023","Semi Detached (Half Duplex)","Deer Run","12/11/2024","$489,900.00","$499,500.00","1,189","Calgary","1979","7","Jay Winch","CWINCHJA","","Terrin Daemen","CDAEMETE","","CAL Zone S"
"501","S","424 Seton Circle SE","A2180168","Row/Townhouse","Seton","12/19/2024","$495,000.00","$498,500.00","1,726","Calgary","2023","15","Christopher Birchard","CBIRCHCH","","Jaime-Lyn McClintock","CMCCLIJA","","CAL Zone SE"
"501","S","5406 Valentine Crescent SE","A2177486","Detached","Penbrooke Meadows","12/13/2024","$498,000.00","$498,000.00","988","Calgary","1960","37","Shane Koka","CKOKASH","","Ed Valino","CVALINED","","CAL Zone E"
"501","S","3443 35 Avenue SE","A2183041","Semi Detached (Half Duplex)","Dover","12/20/2024","$499,900.00","$497,000.00","956","Calgary","1976","10","Gary Banipal","CBANIPGU","CBANIPSU","Philippe Pono","CPONOPH","","CAL Zone E"
"501","S","213 Sherwood Lane NW","A2183205","Row/Townhouse","Sherwood","12/22/2024","$500,000.00","$495,000.00","1,320","Calgary","2024","10","Denis Hrstic","CHRSTIDE","","Sukh Pangly","CPANGLSU","","CAL Zone N"
