"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","192 Sherwood Rise NW","A2149344","Detached","Sherwood","07/25/2024","$999,998.00","$1,000,000.00","2,975","Calgary","2010","11","Mody Ibrahim El Sayed","CIBRAHMO","","Kiron Banik","CBANIKKI","","CAL Zone N"
"1","S","1901 Varsity Estates Drive NW Unit#32","A2129889","Row/Townhouse","Varsity","07/12/2024","$1,049,000.00","$1,000,000.00","1,514","Calgary","1977","63","Amy Simpson","CSIMPSAM","","Paul Paterson","CPATERJO","","CAL Zone NW"
"1","S","313 Magnolia Place SE","A2124281","Detached","Mahogany","07/26/2024","$1,029,000.00","$1,000,000.00","2,484","Calgary","2023","99","Thu Nguyen","CNGUYEAN1","","Stephanie Begin","CBEGINST","","CAL Zone SE"
"1","S","427 37 Street SW Unit#2","A2138902","Detached","Spruce Cliff","07/26/2024","$1,099,900.00","$999,999.00","2,161","Calgary","2019","49","Michael Ferianec","CFERIAMI","","Sarah Gray","CGRAYSA","","CAL Zone W"
"1","S","3804 Sarcee Road SW","A2152177","Detached","Currie Barracks","07/31/2024","$995,000.00","$999,000.00","1,867","Calgary","2011","6","Don Wong","CWONGDO1","","Vincent Phan","CPHANVI","","CAL Zone W"
"1","S","2636 35 Street SW","A2146282","Semi Detached (Half Duplex)","Killarney/Glengarry","07/13/2024","$999,900.00","$995,900.00","1,918","Calgary","2021","8","Neira Makin","CKAHVINE","","Dylan Kisilowski","CKISILODY","","CAL Zone CC"
"1","S","3035 34 Street SW","A2148063","Semi Detached (Half Duplex)","Killarney/Glengarry","07/21/2024","$999,000.00","$995,000.00","1,849","Calgary","2020","11","Frances Cung","CCUNGFR","","Caroline Bereznicki","CBEREZCA","CFLASCER","CAL Zone CC"
"1","S","2199 Sirocco Drive SW","A2150000","Detached","Signal Hill","07/30/2024","$998,888.00","$992,000.00","2,271","Calgary","1989","11","Mary-Lou McCormick","CMCCORMA1","","Adnan Ali Assaf","CASSAFAD1","","CAL Zone W"
"1","S","911 20 Avenue SE Unit#1 and #1B","A2132123","Semi Detached (Half Duplex)","Ramsay","07/07/2024","$985,000.00","$990,550.00","1,508","Calgary","2025","46","Krista Legue","CLEGUEKR","","Lindsay Thompson","CTHOMPLI1","","CAL Zone CC"
"1","S","50 Patrick View SW","A2144480","Detached","Patterson","07/17/2024","$995,000.00","$990,000.00","2,455","Calgary","1996","9","Fiona Christiaansen","CCHRISFI","","Gary Bavis","CBAVISGA","","CAL Zone W"
"1","S","110 Cranleigh Way SE","A2144280","Detached","Cranston","07/09/2024","$998,000.00","$990,000.00","2,630","Calgary","2005","14","Olena Sobkovych","CSOBKOOL","","Tracy Hryhoruk","CHRYHOTR","","CAL Zone SE"
"1","S","41 Cougarstone Terrace SW","A2141610","Detached","Cougar Ridge","07/10/2024","$999,900.00","$990,000.00","2,214","Calgary","2003","26","Michael Wetherup","CWETHEMI","","Mary Simon-Johnston","CSIMONMA3","","CAL Zone W"
"1","S","3056 85 Street SW","A2138156","Row/Townhouse","Springbank Hill","07/23/2024","$999,900.00","$990,000.00","1,494","Calgary","2020","47","Jon Dick","CDICKJO","","Kyle Dexter","CDEXTEKY","CSTARNRA","CAL Zone W"
