"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"2501","S","240 Skyview ranch Road Unit#3406","A2058155","Apartment","Skyview Ranch","06/29/2023","$300,000.00","$300,000.00","928","Calgary","2015","12","Jashanveer Bhatti","CBHATTJA1","","Sid Adlakha","CADLAKSU","","CAL Zone NE"
"2501","S","5201 Dalhousie Drive NW Unit#402","A2057468","Apartment","Dalhousie","06/23/2023","$299,900.00","$300,000.00","957","Calgary","1998","10","Lisa Calles","CCALLELI","","Geoffrey Price","CPRICEGE","","CAL Zone NW"
"2501","S","4304 6A Avenue SE","A2057355","Row/Townhouse","Forest Heights","06/30/2023","$289,900.00","$300,000.00","1,080","Calgary","1972","14","Kevin French","CFRENCKE","CSCOTTDA1","James Heenan","CHEENAJA","CNICHORE","CAL Zone E"
"2501","S","3500 Varsity Drive NW Unit#706","A2056166","Row/Townhouse","Varsity","06/16/2023","$299,900.00","$300,000.00","1,000","Calgary","1976","7","Gloria Sun","CSUNWE","","Robert Vanovermeire","CVANOVRO","CKELMAWE","CAL Zone NW"
"2501","S","115 Bergen Road NW Unit#19","A2055990","Row/Townhouse","Beddington Heights","06/13/2023","$299,900.00","$300,000.00","974","Calgary","1979","6","Angora Lam","CLAMAN1","","Erika Nergui","CNERGURE","","CAL Zone N"
"2501","S","7130 80 Avenue NE Unit#401","A2055971","Apartment","Saddle Ridge","06/19/2023","$300,000.00","$300,000.00","969","Calgary","2013","12","Aly Janmohamed","CJANMOAL","","Sarabjot Sudha","CSUDHASA","","CAL Zone NE"
"2501","S","302 Skyview Ranch Drive NE Unit#5211","A2053314","Apartment","Skyview Ranch","06/07/2023","$295,000.00","$300,000.00","884","Calgary","2016","7","Kevin Clark","CCLARKKE","CCHANLE1","Gijo Varghese","CVARGHGI","","CAL Zone NE"
"2501","S","333 Riverfront Avenue SE Unit#461","A2053101","Apartment","Downtown East Village","06/26/2023","$299,999.00","$300,000.00","868","Calgary","2000","21","Raj Bhopla","CBHOPLRA","","Chynna Winter","CWINTECH1","","CAL Zone CC"
"2501","S","1603 Mcgonigal Drive NE Unit#2","A2052912","Row/Townhouse","Mayland Heights","06/12/2023","$300,000.00","$300,000.00","869","Calgary","1968","12","Christopher Smith","CSMITHCH2","","Immy Gangji","CGANGJIM","","CAL Zone NE"
"2501","S","215 Legacy Boulevard SE Unit#1415","A2052080","Apartment","Legacy","06/07/2023","$300,000.00","$300,000.00","770","Calgary","2016","12","Jesse Davies","CDAVIEJE","","Jean Diestro","CDIESTJE","","CAL Zone S"
"2501","S","105 Village Heights SW Unit#2","A2051071","Apartment","Patterson","06/05/2023","$275,000.00","$300,000.00","817","Calgary","1987","11","Sarah Paranych","CPARANSA","CNICHOSH4","Randy Brown","CBROWNRA","","CAL Zone W"
"2501","S","225 11 Avenue SE Unit#2608","A2048463","Apartment","Beltline","06/30/2023","$325,000.00","$300,000.00","503","Calgary","2013","40","Gordon Ross","CROSSGO","","Jordan Helwerda","CHELWEJO","","CAL Zone CC"
"2501","S","2715 12 Avenue SE Unit#208","A2047659","Apartment","Albert Park/Radisson Heights","06/08/2023","$309,000.00","$300,000.00","917","Calgary","2015","27","Monalei Dallmann","CDALLMMO","","Dorje Lama","CLAMADO","","CAL Zone E"
"2501","S","410 Auburn Bay Square SE","A2046608","Row/Townhouse","Auburn Bay","06/02/2023","$299,900.00","$300,000.00","853","Calgary","2011","15","Michelle Eldjarnson","CELDJAMI","CVANDOFI","Jim Bryce","CBRYCEJA1","","CAL Zone SE"
