"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","620 Crescent Road NW","A1219778","Detached","Rosedale","07/29/2022","$4,500,000.00","$4,000,000.00","3,720","Calgary","2016","64","Krista Legue","CLEGUEKR","","Krista Legue","CLEGUEKR","","CAL Zone CC"
"1","S","3421 85 Street SW","A1143262","Detached","Springbank Hill","07/12/2022","$3,999,999.00","$3,470,000.00","5,054","Calgary","2009","313","Dorothea Sautter","CSAUTTDO","CFAIRBVE","Aidan Kutcher","CKUTCHAI","","CAL Zone W"
"1","S","101 Roxboro Road SW","A1225398","Detached","Roxboro","07/11/2022","$3,400,000.00","$3,400,000.00","3,891","Calgary","2015","11","John McNeill","CMCNEIJO","","Christina Giuffre","CGIUFFCH1","","CAL Zone CC"
"1","S","4506 5 Street SW","A1233477","Detached","Elboya","07/06/2022","$2,795,000.00","$2,765,000.00","3,733","Calgary","2022","12","Michael Wood","CWOODMI","","Spencer Stupka","CSTUPKSP","","CAL Zone CC"
"1","S","71 Bel-Aire Place SW","A1242266","Detached","Bel-Aire","07/23/2022","$2,850,000.00","$2,750,000.00","4,525","Calgary","1985","0","Vivienne Huisman","CFEICKVI","","Spencer Stupka","CSTUPKSP","","CAL Zone CC"
"1","S","914 36 Avenue SW","A1184185","Detached","Elbow Park","07/15/2022","$2,390,000.00","$2,300,000.00","3,330","Calgary","2004","141","Sylvie Linteau","CLINTESY","","Josh Hamilton","CHAMILJO","","CAL Zone CC"
"1","S","3620 7A Street SW","A1236180","Detached","Elbow Park","07/04/2022","$1,975,000.00","$1,953,388.04","2,804","Calgary","2022","0","Daniel Weiner","CWEINEDA","","Michael Wood","CWOODMI","","CAL Zone CC"
"1","S","1318 Windsor Street NW","A1172830","Detached","St Andrews Heights","07/11/2022","$1,999,000.00","$1,910,000.00","3,815","Calgary","2010","168","Joel Semmens","CSEMMEJO","","Serghei Cicala","CCICALSE","","CAL Zone CC"
"1","S","1547 Windsor Street NW","A1219528","Detached","St Andrews Heights","07/21/2022","$1,990,000.00","$1,900,000.00","3,361","Calgary","2009","0","Reilly Nicholls","CNICHORE","","Vivienne Huisman","CFEICKVI","","CAL Zone CC"
"1","S","36 Patina Hill SW","A1195847","Detached","Patterson","07/08/2022","$2,099,000.00","$1,900,000.00","5,031","Calgary","1994","99","Sam Shenouda","CSHENOBA","","Mike Hickey","CHICKEMI","","CAL Zone W"
"1","S","2903 6 Avenue NW","A1232453","Detached","Parkdale","07/01/2022","$1,895,000.00","$1,892,500.00","3,030","Calgary","2009","8","Joel Semmens","CSEMMEJO","","Gene Yamada","CYAMADGE","","CAL Zone CC"
"1","S","1033 Bel-Aire Drive SW","A1226892","Detached","Bel-Aire","07/13/2022","$1,725,000.00","$1,850,000.00","2,307","Calgary","1960","6","Melissa Gallagher","CGALLAME","","Anne Clarke-Davidson","CCLARKAN2","","CAL Zone CC"
"1","S","23 Mahogany Circle SE Unit#301","A1225537","Apartment","Mahogany","07/03/2022","$1,930,000.00","$1,840,000.00","1,879","Calgary","2019","24","Debbie Komitsch","CKOMITDE","","Debbie Komitsch","CKOMITDE","","CAL Zone SE"
"1","S","57 Slopes Point SW","A1226996","Detached","Springbank Hill","07/30/2022","$1,895,000.00","$1,820,000.00","3,758","Calgary","1999","50","Brad McCallum","CMCCALBR","","Sam Kim","CKIMSA1","","CAL Zone W"
"1","S","13 Woodhaven View SW","A1207755","Detached","Woodbine","07/08/2022","$1,899,900.00","$1,800,000.00","3,643","Calgary","1992","79","Laura O'Connell","COCONNLA","","Sylvia Smith","CSMITHSY","","CAL Zone S"
"1","S","50 Posthill Drive SW","A1231183","Detached","Springbank Hill","07/09/2022","$1,795,000.00","$1,730,000.00","3,776","Calgary","2008","16","Jessica Bruse","CVERMAJE","","Dennis Plintz","CPLINTDE","CMARTIAM","CAL Zone W"
"1","S","3828A 1A Street SW","A1233271","Detached","Parkhill","07/28/2022","$1,695,000.00","$1,695,000.00","2,412","Calgary","1995","35","Rachelle Starnes","CSTARNRA","CMARTIKA1","Lori Dahlberg","CDAHLBLO","","CAL Zone CC"
"1","S","608 Hillcrest Avenue SW","A1194320","Detached","Upper Mount Royal","07/08/2022","$1,699,900.00","$1,685,000.00","2,717","Calgary","1926","109","Donna Rooney","CROONEDO","CCRONIGA2","Ben Knopp","CKNOPPBE","","CAL Zone CC"
"1","S","1630 Broadview Road NW","A1213824","Detached","Hillhurst","07/06/2022","$1,798,000.00","$1,680,000.00","3,382","Calgary","2014","62","Erin Ferguson","CFERGUER","","Heather Sorensen","CSORENHE","","CAL Zone CC"
"1","S","2011 44 Avenue SW","A1230212","Detached","Altadore","07/07/2022","$1,675,000.00","$1,650,000.00","2,465","Calgary","2015","17","Arthur Lee","CLEEAR2","","Seth Allred","CALLRESE","","CAL Zone CC"
"1","S","3608 13A Street SW","A1232375","Detached","Elbow Park","07/04/2022","$1,650,000.00","$1,640,000.00","3,211","Calgary","2002","12","Spencer Stupka","CSTUPKSP","CMAYEM","Thomas Kelly","CKELLYTH1","CHAVREJU","CAL Zone CC"
"1","S","111 Aspen Summit Bay SW","A1226047","Detached","Aspen Woods","07/29/2022","$1,688,000.00","$1,640,000.00","2,193","Calgary","2015","52","David Pellettier","CPELLEDA","","Melinda Channon","CCHANNME","","CAL Zone W"
"1","S","98 Valour Circle SW","A1179734","Detached","Currie Barracks","07/22/2022","$1,639,000.00","$1,629,000.00","2,366","Calgary","2021","164","Dennis Plintz","CPLINTDE","","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","215 13 Avenue SW Unit#2602","A1226931","Apartment","Beltline","07/22/2022","$1,599,900.00","$1,525,000.00","2,433","Calgary","2009","45","Yoki Nichol","CNICHOYO","CNICHOJE","Cody Battershill","CBATTECO","","CAL Zone CC"
"1","S","5103 22 Avenue NW","A1189437","Detached","Montgomery","07/29/2022","$1,499,900.00","$1,480,000.00","3,066","Calgary","2022","147","Mark Lukwinski","CLUKWIMA","","Rajat Karval","CKARVARA","","CAL Zone NW"
"1","S","58 Chapala Close SE","A1236402","Detached","Chaparral","07/24/2022","$1,499,000.00","$1,450,000.00","3,048","Calgary","2003","19","Rick Qi","CQIRI","","Gary Cronin","CCRONIGA2","","CAL Zone S"
"1","S","1801 Broadview Road NW","A1221686","Detached","Hillhurst","07/19/2022","$1,549,999.00","$1,450,000.00","2,726","Calgary","2010","55","Vivienne Huisman","CFEICKVI","","Shannon Macleod","CMACLESH2","","CAL Zone CC"
"1","S","3215 Vercheres Street SW","A1228003","Detached","Upper Mount Royal","07/14/2022","$1,537,000.00","$1,430,000.00","2,051","Calgary","1930","34","Heather Waddell","CWADDEHE","","Alisha Whitehead","CWHITEAL2","","CAL Zone CC"
"1","S","52 Rosevale Drive NW","A1231364","Detached","Rosemont","07/21/2022","$1,449,000.00","$1,400,000.00","1,543","Calgary","1959","5","Ben Battistessa","CBATTIBE","","Joanne Thomas","CTHOMAJO1","","CAL Zone CC"
"1","S","17 Aspen Ridge Cove SW","A1195728","Detached","Aspen Woods","07/09/2022","$1,450,000.00","$1,395,000.00","3,071","Calgary","2010","112","Ramesh Verma","CVERMARA","","Spencer Rivers","CRIVERSP","","CAL Zone W"
"1","S","4232 Edgevalley Landing NW","A1229146","Detached","Edgemont","07/20/2022","$1,498,888.00","$1,380,000.00","2,615","Calgary","1997","33","Arthur Leslie","CLESLIAR","CMETHOJO","Min Xu","CXUMI","","CAL Zone NW"
"1","S","2121 2 Avenue NW","A1227383","Detached","West Hillhurst","07/06/2022","$1,349,000.00","$1,349,000.00","2,593","Calgary","2001","28","Kyle Gillespie","CGILLEKY","CLINSTJO","Christina Hagerty","CHAGERCH","","CAL Zone CC"
"1","S","86 Lynx Meadows Drive NW","A1238001","Detached","NONE","07/18/2022","$1,325,000.00","$1,335,000.00","2,123","Calgary","2005","4","Tina Belhumeur","CBELHUTI","","Suman Brar","CBRARSU4","",""
"1","S","1904 10 Avenue NW","A1174868","Detached","Hounsfield Heights/Briar Hill","07/23/2022","$1,399,999.00","$1,315,000.00","2,185","Calgary","1952","172","Teresa Munro","CMUNROTE","","Teresa Munro","CMUNROTE","","CAL Zone CC"
"1","S","137 Marquis View SE","A1231464","Detached","Mahogany","07/04/2022","$1,299,000.00","$1,308,000.00","3,191","Calgary","2014","13","Greg Kennedy","CKENNEGR","","Kelly Turner","CTURNEKE","","CAL Zone SE"
"1","S","1730 47 Avenue SW","A1232360","Detached","Altadore","07/01/2022","$1,289,900.00","$1,300,000.00","2,024","Calgary","2022","8","Derrick Penn","CPENNDE","","Sean Furlong","CFURLOSE","","CAL Zone CC"
"1","S","208 Evergreen Circle SW","A1233356","Detached","Evergreen","07/06/2022","$1,298,000.00","$1,299,800.00","2,831","Calgary","2008","5","Niki Taggart","CTAGGANI","CSTARNRA","Gloria Sun","CSUNWE","","CAL Zone S"
"1","S","37 Tuscany Estates Terrace NW","A1234874","Detached","Tuscany","07/06/2022","$1,250,000.00","$1,293,000.00","3,417","Calgary","2008","6","Jeff Neustaedter","CNEUSTJE","CBURRIRO1","Rebecca Chamberlain","CCHAMBRE","","CAL Zone NW"
"1","S","21 Rockcliff Grove NW","A1238879","Detached","Rocky Ridge","07/15/2022","$1,299,900.00","$1,290,000.00","1,891","Calgary","2012","1","Kelly McKelvie","CMCKELKE","","Kelly McKelvie","CMCKELKE","","CAL Zone NW"
"1","S","117 Garden Crescent SW","A1237508","Detached","Elbow Park","07/22/2022","$1,299,900.00","$1,290,000.00","2,559","Calgary","2001","14","Josh Methot","CMETHOJO","CLESLIAR","Imo Manji","CMANJIIM","","CAL Zone CC"
"1","S","228 MAHOGANY Bay SE","A1228152","Detached","Mahogany","07/01/2022","$1,288,000.00","$1,288,000.00","2,678","Calgary","2011","11","Robert Vanovermeire","CVANOVRO","","Erin Reeves","CHUCULER","","CAL Zone SE"
"1","S","315 Tuscany Estates Rise NW","A1233906","Detached","Tuscany","07/28/2022","$1,350,000.00","$1,260,000.00","3,187","Calgary","2009","28","Serhan Tarkan","CTARKASE","","Serhan Tarkan","CTARKASE","","CAL Zone NW"
"1","S","3613 7A Street SW","A1236293","Detached","Elbow Park","07/23/2022","$1,299,000.00","$1,250,000.00","2,105","Calgary","1912","11","Mary-Lou McCormick","CMCCORMA1","","Derrick Newman","CNEWMADE1","","CAL Zone CC"
"1","S","2101 18A Street SW","A1233846","Detached","Bankview","07/06/2022","$1,298,000.00","$1,249,000.00","3,291","Calgary","2000","9","John McNeill","CMCNEIJO","","Mitchell Mackie","CMACKIMI","","CAL Zone CC"
"1","S","1759B 2 Avenue NW","A1236346","Semi Detached (Half Duplex)","Hillhurst","07/23/2022","$1,275,000.00","$1,232,000.00","2,157","Calgary","2022","17","Samantha Nicastro","CJOZSASA","CBRARGU2","David Hammer","CHAMMEDA","","CAL Zone CC"
"1","S","223 15 Street NW","A1241813","Detached","Hillhurst","07/25/2022","$1,200,000.00","$1,225,000.00","2,043","Calgary","2019","3","Lisa Calles","CCALLELI","","Michael Freiter","CFREITMI","","CAL Zone CC"
"1","S","4 West Grove Bay SW","A1232730","Detached","West Springs","07/30/2022","$1,248,800.00","$1,225,000.00","3,125","Calgary","2014","37","Jeff Ackerman","CACKERJE","","Claire Fraser","CFRASECL","","CAL Zone W"
"1","S","1810 29 Avenue SW","A1222844","Semi Detached (Half Duplex)","South Calgary","07/29/2022","$1,295,000.00","$1,225,000.00","2,573","Calgary","2007","58","Aly Remtulla","CREMTUAL","","Sylvie Linteau","CLINTESY","","CAL Zone CC"
"1","S","6735 Bow Crescent NW","A1219977","Detached","Bowness","07/09/2022","$1,295,000.00","$1,225,000.00","2,808","Calgary","2014","43","Brenda Parai","CPARAIBR","CWHYTEKI","Eddie Kamps","CKAMPSED","","CAL Zone NW"
"1","S","153 Hamptons Green NW","A1207212","Detached","Hamptons","07/26/2022","$1,299,900.00","$1,225,000.00","2,631","Calgary","1993","94","Kirby Cox","CCOXKI","","Bernie Seifert","CSEIFEBE","","CAL Zone NW"
"1","S","246 Crestridge Place","A1225258","Detached","Crestmont","07/14/2022","$1,299,000.00","$1,220,000.00","2,293","Calgary","2012","42","Conor Elder","CELDERCO","","Brad Churchwell","CCHURCBR","","CAL Zone W"
"1","S","59 Mckenzie Lake Landing SE","A1234949","Detached","McKenzie Lake","07/15/2022","$1,198,000.00","$1,185,000.00","3,200","Calgary","1990","15","Luke McLaren","CMCLARLU","CMCLARMI","Christine Mah","CMAHCH","","CAL Zone SE"
"1","S","221 West Grove Point SW","A1226920","Detached","West Springs","07/30/2022","$1,215,000.00","$1,185,000.00","2,598","Calgary","2018","43","Neil Lauzon","CLAUZONE","","Pierre Salois","CSALOIPI","","CAL Zone W"
"1","S","2744 Lougheed Drive SW","A1235107","Detached","Lakeview","07/08/2022","$1,149,000.00","$1,174,000.00","1,632","Calgary","1961","8","Neira Makin","CKAHVINE","","Morgan Gosal","CGOSALMO","","CAL Zone W"
"1","S","121 Hamptons Gardens NW","A1200560","Detached","Hamptons","07/04/2022","$1,199,900.00","$1,160,000.00","2,934","Calgary","1998","94","Jonathan Pendlebury","CPENDLJO","","Jessica Chan","CCHANJE1","","CAL Zone NW"
"1","S","683 Cranston Avenue SE","A1225644","Detached","Cranston","07/15/2022","$1,195,000.00","$1,155,000.00","2,742","Calgary","2015","42","Justin Havre","CHAVREJU","CIGNACMA","Kodette LaBarbera","CLABARKO","CRICHABA","CAL Zone SE"
"1","S","148 Parkglen Crescent SE","A1238502","Detached","Parkland","07/19/2022","$1,150,000.00","$1,150,000.00","1,715","Calgary","1975","6","Sandra Roen","CROENSA","CMURREKE","Deborah Perrault","CPERRADE","","CAL Zone S"
"1","S","127 Marquis Grove SE","A1234632","Detached","Mahogany","07/12/2022","$1,149,900.00","$1,140,000.00","2,723","Calgary","2012","13","Diana McIntyre","CFITZPDI","CMCINTRO","Mark John","CJOHNMA","CHAVREJU","CAL Zone SE"
"1","S","4 Crestridge Rise SW","A1218135","Detached","Crestmont","07/25/2022","$1,149,900.00","$1,139,000.00","3,429","Calgary","2007","67","Joel Semmens","CSEMMEJO","","Kris Paul","CPAULKR1","","CAL Zone W"
"1","S","13 Cougar Ridge Cove SW","A1229801","Detached","Cougar Ridge","07/21/2022","$1,150,000.00","$1,135,000.00","2,906","Calgary","2011","35","Jeff Ackerman","CACKERJE","CMCMAHJO2","Eric Mortimer","CMORTIER","","CAL Zone W"
"1","S","2017 42 Avenue SW","A1222902","Semi Detached (Half Duplex)","Altadore","07/08/2022","$1,150,000.00","$1,135,000.00","1,858","Calgary","2022","41","Akbar Nimji","CNIMJIAK","","Jesse Davies","CDAVIEJE","","CAL Zone CC"
"1","S","149 Springborough Green SW","A1227965","Detached","Springbank Hill","07/08/2022","$1,150,000.00","$1,133,000.00","2,859","Calgary","2003","28","Zahra Jiwa","CJIWAZA","","Gloria Sun","CSUNWE","","CAL Zone W"
"1","S","104 Wedgewood Drive SW","A1224185","Detached","Wildwood","07/19/2022","$1,170,000.00","$1,132,500.00","2,009","Calgary","1956","47","Gareth Hughes","CHUGHEGA","","Tanya Eklund","CEKLUNTA","","CAL Zone W"
"1","S","1815 Varsity Estates Drive NW Unit#69","A1227058","Row/Townhouse","Varsity","07/15/2022","$1,125,000.00","$1,125,000.00","1,683","Calgary","1974","7","Gordon McArthur","CMCARTGO","","Gordon McArthur","CMCARTGO","","CAL Zone NW"
