"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1501","S","187 Covewood Circle NE","A1182478","Detached","Coventry Hills","02/25/2022","$460,000.00","$460,000.00","1,188","Calgary","2002","9","Cory Lomsnes","CLOMSNCO","","Clinton Willies","CWILLICL","","CAL Zone N"
"1501","S","73 Nolanlake Cove","A1180087","Row/Townhouse","Nolan Hill","02/23/2022","$395,000.00","$460,000.00","1,558","Calgary","2016","14","Kenneth Vollet","CVOLLEKE","","Chao Liang","CLIANGCH","","CAL Zone N"
"1501","S","276 Covehaven Road NE","A1179179","Detached","Coventry Hills","02/18/2022","$419,990.00","$460,000.00","927","Calgary","2003","7","Jeffrey LeBlanc","CLEBLAJE","","James Tunnell","CTUNNEJA","","CAL Zone N"
"1501","S","180 Falshire Way NE","A1178843","Detached","Falconridge","02/28/2022","$449,700.00","$460,000.00","933","Calgary","1983","14","Jaswinder Johal","CJOHALJA","","Bob Damji","CDAMJIME","","CAL Zone NE"
"1501","S","81 Taralake Street NE","A1177356","Detached","Taradale","02/15/2022","$439,900.00","$460,000.00","1,322","Calgary","2008","11","Amarjit Cudail","CCUDAIAM","CMATHAPR","Ricky Wadhwa","CWADHWRI","","CAL Zone NE"
"1501","S","1090 Everridge Drive SW","A1176480","Detached","Evergreen","02/17/2022","$469,900.00","$460,000.00","1,352","Calgary","2004","17","Peter Pasion","CPASIOPE","","Peter Pasion","CPASIOPE","","CAL Zone S"
"1501","S","6531 24 Avenue NE","A1176392","Detached","Pineridge","02/04/2022","$399,000.00","$460,000.00","1,149","Calgary","1975","5","Ali Abdalla","CABDALAL1","","Harinder Gill","CGILLHA2","","CAL Zone NE"
"1501","S","123 Silverstone Road NW","A1175780","Detached","Silver Springs","02/10/2022","$419,900.00","$460,000.00","1,191","Calgary","1978","13","Matthew Wiebe","CWIEBEMA1","CWIEBEJA","Tony Cusano","CCUSANTO","","CAL Zone NW"
"1501","S","231 Costa Mesa Close NE","A1174901","Detached","Monterey Park","02/03/2022","$459,900.00","$460,000.00","1,080","Calgary","1992","2","Peter Jagpal","CJAGPAGU","","Tushar Sharma","CSHARMATU","","CAL Zone NE"
"1501","S","144 Bermuda Way NW","A1174502","Detached","Beddington Heights","02/03/2022","$439,000.00","$460,000.00","1,150","Calgary","1979","9","Dale Oleshko","COLESHDA","","Alison Lang","CLANGAL","","CAL Zone N"
