"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","1029 Fonda Court SE","A2003495","Semi Detached (Half Duplex)","Forest Heights","12/03/2022","$299,900.00","$286,250.00","1,041","Calgary","1977","67","Kevin Chapman","CCHAPMKE","","Jag Sandhu","CSANDHJA4","","CAL Zone E"
"501","S","370 Harvest Hills  Common NE Unit#105","A2014677","Apartment","Harvest Hills","12/22/2022","$289,900.00","$285,000.00","822","Calgary","2019","15","Leanne Larsen","CLARSELE","","Taryn Pessanha","CPESSAIS","","CAL Zone N"
"501","S","417 3 Avenue NE Unit#102","A2013406","Apartment","Crescent Heights","12/11/2022","$285,000.00","$285,000.00","1,082","Calgary","2003","13","Gordyn Matheson","CMATHEGO1","","Odell Ramcharan","CRAMCHOD","","CAL Zone CC"
"501","S","3500 Varsity Drive NW Unit#409","A2010380","Row/Townhouse","Varsity","12/25/2022","$299,900.00","$285,000.00","1,059","Calgary","1976","51","Daniel Kowall","CKOWALDA1","CKOWALTA","Guriqbal S Chahal","echahagu","","CAL Zone NW"
"501","S","4 14 Street NW Unit#303","A2002008","Apartment","Hillhurst","12/06/2022","$290,000.00","$282,000.00","671","Calgary","1999","76","Adnan Ali Assaf","CASSAFAD1","","Diana Secrieru","CSECRIDI","","CAL Zone CC"
"501","S","522 Cranford Drive SE Unit#3312","A2012652","Apartment","Cranston","12/01/2022","$287,900.00","$281,000.00","844","Calgary","2016","10","Mansoor Forouzan","CFOROUMA","","Steve Howes","CHOWESST","","CAL Zone SE"
"501","S","450 Sage Valley Drive NW Unit#3305","A2015752","Apartment","Sage Hill","12/26/2022","$290,000.00","$280,000.00","868","Calgary","2016","10","Krimsen Lee-Knittle","CLEEKR","","Peyman Valim","CVALIMPE","","CAL Zone N"
"501","S","250 New Brighton Villas SE Unit#212","A2013280","Apartment","New Brighton","12/09/2022","$284,900.00","$280,000.00","1,078","Calgary","2009","15","Patricia Henderson","CHENDEPA","CRAFFECA","Lorenda Coles","CCOLESLO1","","CAL Zone SE"
"501","S","8531 8A Avenue SW Unit#403","A2010572","Apartment","West Springs","12/06/2022","$300,000.00","$280,000.00","659","Calgary","2016","29","Mathew Said Morley","CMORLEMA","","Diana Dai","CDAIGU","","CAL Zone W"
"501","S","402 Marquis Lane SE Unit#310","A2007482","Apartment","Mahogany","12/09/2022","$288,000.00","$280,000.00","872","Calgary","2014","48","Peter Pasion","CPASIOPE","","Uros Markovic","CMARKOUR","","CAL Zone SE"
