"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","1812 Bay Shore Road SW","A1223520","Detached","Bayview","06/02/2022","$2,750,000.00","$2,850,000.00","3,519","Calgary","1967","3","Vivienne Huisman","CFEICKVI","","Gary Cronin","CCRONIGA2","","CAL Zone S"
"1","S","120 Wildwood Drive SW","A1199899","Detached","Wildwood","06/01/2022","$2,850,000.00","$2,800,000.00","3,353","Calgary","2006","50","Dennis Plintz","CPLINTDE","","Sam Olschewski","COLSCHSA","","CAL Zone W"
"1","S","4304 Coronation Drive SW","A1224445","Detached","Britannia","06/10/2022","$2,649,900.00","$2,751,000.00","3,607","Calgary","2003","9","Tom Gray","CGRAYTO","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","9190 34 Avenue SW","A1208494","Detached","Springbank Hill","06/27/2022","$2,832,000.00","$2,750,000.00","1,905","Calgary","1972","67","Aidan Kutcher","CKUTCHAI","","Aidan Kutcher","CKUTCHAI","","CAL Zone W"
"1","S","8909 34 Avenue SW","A1208014","Detached","Springbank Hill","06/27/2022","$2,800,000.00","$2,750,000.00","1,633","Calgary","1992","67","Aidan Kutcher","CKUTCHAI","","Aidan Kutcher","CKUTCHAI","","CAL Zone W"
"1","S","163 Cranbrook Circle SE","A1172651","Detached","Cranston","06/10/2022","$2,985,000.00","$2,725,000.00","4,068","Calgary","2016","143","Tanya Eklund","CEKLUNTA","","Hitesh Arora","CARORAHI","","CAL Zone SE"
"1","S","607 38 Avenue SW","A1214548","Detached","Elbow Park","06/10/2022","$2,750,000.00","$2,600,000.00","3,590","Calgary","1996","28","Donna Rooney","CROONEDO","CCRONIGA2","Steve Inman","CINMANST","","CAL Zone CC"
"1","S","463 Auburn Shores Landing SE","A1229838","Detached","Auburn Bay","06/24/2022","$2,550,000.00","$2,550,000.00","3,331","Calgary","2014","8","Aphrodite Karamitsanis","CKARAMAP","","Aphrodite Karamitsanis","CKARAMAP","","CAL Zone SE"
"1","S","822 Hillcrest Avenue SW","A1225522","Detached","Upper Mount Royal","06/26/2022","$2,600,000.00","$2,500,000.00","2,609","Calgary","1910","18","Lisa Atkins","CATKINLI","","Ruth Alexander","CALEXAMA","CGINGRKI","CAL Zone CC"
"1","S","901 38 Avenue SW","A1221967","Detached","Elbow Park","06/10/2022","$2,500,000.00","$2,450,000.00","3,141","Calgary","2010","15","Dennis Plintz","CPLINTDE","","Sue Anne Valentine","CVALENSU","","CAL Zone CC"
"1","S","6443 Laurentian Way SW","A1229916","Detached","North Glenmore Park","06/28/2022","$2,199,900.00","$2,275,000.00","3,281","Calgary","2016","0","Daniel Weiner","CWEINEDA","","John Ditto","CDITTOJO","","CAL Zone W"
"1","S","817 15 Avenue SW Unit#2601","A1215089","Apartment","Beltline","06/07/2022","$2,400,000.00","$2,225,000.00","2,300","Calgary","2009","11","Doug McNaughton","CMCNAUDO","","Tyree Stephens","CSTEPHTY","","CAL Zone CC"
"1","S","1948 49 Avenue SW","A1217165","Detached","Altadore","06/03/2022","$2,250,000.00","$2,200,000.00","3,411","Calgary","2014","22","Pedro Villamar","CVILLAPE","","Mark Milne","CMILNEMA","","CAL Zone CC"
"1","S","81 Auburn Sound Point SE","A1191336","Detached","Auburn Bay","06/09/2022","$1,899,000.00","$2,100,000.00","3,167","Calgary","2017","6","John McNeill","CMCNEIJO","","Ferry James","CJAMESFE","","CAL Zone SE"
"1","S","2003 43 Avenue SW","A1207887","Detached","Altadore","06/30/2022","$2,250,000.00","$2,080,000.00","3,794","Calgary","2012","72","Joy Peacock","CCRAWFJO2","","Joy Peacock","CCRAWFJO2","","CAL Zone CC"
"1","S","1207 18 Street NW","A1227072","Detached","Hounsfield Heights/Briar Hill","06/22/2022","$1,999,900.00","$2,055,000.00","3,137","Calgary","2014","13","Trevor Ramage","CRAMAGTR","","Charles Zhang","CZHANGCH3","","CAL Zone CC"
"1","S","36 Spring Valley Mews SW","A1223680","Detached","Springbank Hill","06/07/2022","$2,100,000.00","$2,048,770.00","3,857","Calgary","2004","5","Justin Warthe","CWARTHJU","CSAHADKA","Ginny Webster","CWEBSTGI","","CAL Zone W"
"1","S","2213 7 Avenue NW","A1208955","Detached","West Hillhurst","06/02/2022","$2,099,000.00","$2,025,000.00","4,387","Calgary","2016","42","Jordan Helwerda","CHELWEJO","CBATTECO","Robin Lear","CLEARRO","","CAL Zone CC"
"1","S","6432 Lombardy Crescent SW","A1199546","Detached","North Glenmore Park","06/03/2022","$2,099,000.00","$1,987,500.00","3,530","Calgary","2022","22","Daniel Weiner","CWEINEDA","","Kirby Cox","CCOXKI","","CAL Zone W"
"1","S","1225 Gladstone Road NW","A1180732","Detached","Hillhurst","06/23/2022","$2,000,000.00","$1,975,000.00","3,392","Calgary","2010","132","Dennis Plintz","CPLINTDE","","Dixie Hartell","CHARTEDI","","CAL Zone CC"
"1","S","7 Discovery Ridge Way SW","A1218921","Detached","Discovery Ridge","06/17/2022","$1,899,000.00","$1,950,000.00","3,568","Calgary","2005","7","Ruth Alexander","CALEXAMA","CKWONYO","Erin Ferguson","CFERGUER","","CAL Zone W"
"1","S","129 Auburn Sound Point SE","A1218106","Detached","Auburn Bay","06/06/2022","$1,925,000.00","$1,905,000.00","2,961","Calgary","2015","23","Darcy Brown","CBROWNDA7","","Shawna Ward","CWARDSH","","CAL Zone SE"
"1","S","59 Lake Bonaventure Place SE","A1219688","Detached","Lake Bonavista","06/15/2022","$1,995,000.00","$1,870,000.00","3,182","Calgary","1977","20","Chase Olsen","COLSENCH","","Christopher Smith","CSMITHCH2","","CAL Zone S"
"1","S","367 Parkview Crescent SE","A1207183","Detached","Parkland","06/13/2022","$1,999,900.00","$1,860,000.00","3,281","Calgary","1975","53","Gavin Conway","CCONWAGA","","Katherine Bennett","CBENNEKA","","CAL Zone S"
"1","S","183 Eagle Ridge Drive SW","A1212417","Detached","Eagle Ridge","06/01/2022","$1,859,000.00","$1,846,500.00","2,167","Calgary","1964","30","Craig Durkovich","CDURKOCR","","John McNeill","CMCNEIJO","","CAL Zone S"
"1","S","9944 Patton Road SW","A1203142","Detached","Pump Hill","06/25/2022","$1,899,000.00","$1,825,000.00","3,122","Calgary","1986","78","Susanita de Diego","CDEDIESU","CSTARNRA","Alisha Whitehead","CWHITEAL2","","CAL Zone S"
"1","S","3238 81 Street SW","A1223840","Detached","Springbank Hill","06/06/2022","$1,798,000.00","$1,820,000.00","2,234","Calgary","2005","6","Ross Pavl","CPAVLYRO","","David Pellettier","CPELLEDA","","CAL Zone W"
"1","S","64 Midpark Crescent SE","A1217127","Detached","Midnapore","06/01/2022","$1,875,000.00","$1,800,000.00","4,130","Calgary","1981","13","Spencer Tonkinson","CTONKISP","","Diana McIntyre","CFITZPDI","","CAL Zone S"
"1","S","1429 Premier Way SW","A1204055","Detached","Upper Mount Royal","06/10/2022","$1,849,000.00","$1,800,000.00","2,618","Calgary","2000","48","Mary-Lou McCormick","CMCCORMA1","","Dean Steinmann","CSTEINDE1","CBUILO","CAL Zone CC"
